Data,Area,Empresa,CNPJ,Princípio_ativo,Nome_do_produto,Numero_do_processo,Validade,Petição,Expediente,Numero_do_registro,Prazo_de_validade,Apresentacao,Situacao,Tipo_de_peticao,Categoria_regulatória,Clone,Classe_terapêutica,Data_de_protocolo,Tempo_para_publicação,Tempo_de_fila,Comentarios
9/9/2024,GGMED,JANSSEN-CILAG FARMACÊUTICA LTDA,51780468000187,ibrutinibe,IMBRUVICA,25351.201886/2023-52, 09/2034,1456 MEDICAMENTO NOVO - REGISTRO DE FORMA FARMACÊUTICA NOVA NO PAÍS,0330318/23-7,1.1236.3445.001-9, 24 Meses,70 MG/ML SUS OR CT FR VD AMB X 112 ML + 2 SER DOS,Deferido,Registro,Novo,,,,,,
9/9/2024,GGMED,NATCOFARMA DO BRASIL LTDA,8157293000127,carfilzomibe,NA,25351.136366/2022-81, 09/2034,155 GENERICO - REGISTRO DE MEDICAMENTO, 0881981/22-5,1.8261.0021.001-5, 24 Meses,60 MG PO LIOF SOL INFUS IV CT FA VD TRANS,Deferido,Registro,Genérico,,,,,,
9/9/2024,GGMED,COPERMED COMERCIAL IMPORTADORA LTDA,9029404000182,CLORETO DE SÓDIO,"cloreto de sódio 0,9%",25351.364392/2024-69, 09/2034,10486 ESPECÍFICO - REGISTRO DE MEDICAMENTO - SOLUÇÃO PARENTERAL - CLONE,0891387/24-1,1.2680.0002.001-7,36 Meses,9 MG/ML SOL INFUS IV CX 60 FA PLAS TRANS SIST FECH X 100 ML,Deferido,Registro,Específico,Sim,,,,,"Informações do matriz: (11197 ESPECÍFICO - SOLICITAÇÃO DE TRANSFERÊNCIA DE TITULARIDADE DE REGISTRO
(OPERAÇÃO COMERCIAL) - 2138270/19-1 - 25351.522894/2019-53)"
9/9/2024,GGMED,COPERMED COMERCIAL IMPORTADORA LTDA,9029404000182,CLORETO DE SÓDIO,"cloreto de sódio 0,9%",25351.364392/2024-69, 09/2034,10486 ESPECÍFICO - REGISTRO DE MEDICAMENTO - SOLUÇÃO PARENTERAL - CLONE,0891387/24-1,1.2680.0002.002-5,36 Meses,9 MG/ML SOL INFUS IV CX 24 FA PLAS TRANS SIST FECH X 250 ML,Deferido,Registro,Específico,Sim,,,,,
9/9/2024,GGMED,COPERMED COMERCIAL IMPORTADORA LTDA,9029404000182,CLORETO DE SÓDIO,"cloreto de sódio 0,9%",25351.364392/2024-69, 09/2034,10486 ESPECÍFICO - REGISTRO DE MEDICAMENTO - SOLUÇÃO PARENTERAL - CLONE,0891387/24-1,1.2680.0002.003-3,36 Meses,9 MG/ML SOL INFUS IV CX 25 FA PLAS TRANS SIST FECH X 500 ML,Deferido,Registro,Específico,Sim,,,,,
9/9/2024,GGMED,COPERMED COMERCIAL IMPORTADORA LTDA,9029404000182,CLORETO DE SÓDIO,"cloreto de sódio 0,9%",25351.364392/2024-69, 09/2034,10486 ESPECÍFICO - REGISTRO DE MEDICAMENTO - SOLUÇÃO PARENTERAL - CLONE,0891387/24-1,1.2680.0002.004-1,36 Meses,9 MG/ML SOL INFUS IV CX 12 FA PLAS TRANS SIST FECH X 1000 ML,Deferido,Registro,Específico,Sim,,,,,
9/9/2024,GGMED,EMS S/A,57507378000365,DIMESILATO DE LISDEXANFETAMINA,NA,25351.318583/2024-59, 09/2034,10488 GENÉRICO - REGISTRO DE MEDICAMENTO - CLONE , 0721605/24-0,1.0235.1442.001-9,24 Meses,30 MG CAP DURA CT FR PLAS PEAD OPC X 30,Deferido,Registro,Genérico,Sim,,,,,"Informações do matriz: (150 SIMILAR - REGISTRO DE MEDICAMENTO SIMILAR - 0803732/21-9 -
25351.120823/2021-34"
9/9/2024,GGMED,EMS S/A,57507378000365,DIMESILATO DE LISDEXANFETAMINA,NA,25351.318583/2024-59, 09/2034,10488 GENÉRICO - REGISTRO DE MEDICAMENTO - CLONE , 0721605/24-0,1.0235.1442.002-7,24 Meses,50 MG CAP DURA CT FR PLAS PEAD OPC X 30,Deferido,Registro,Genérico,Sim,,,,,"Informações do matriz: (150 SIMILAR - REGISTRO DE MEDICAMENTO SIMILAR - 0803732/21-9 -
25351.120823/2021-34"
9/9/2024,GGMED,EMS S/A,57507378000365,DIMESILATO DE LISDEXANFETAMINA,NA,25351.318583/2024-59, 09/2034,10488 GENÉRICO - REGISTRO DE MEDICAMENTO - CLONE , 0721605/24-0,1.0235.1442.003-5, 24 Meses,70 MG CAP DURA CT FR PLAS PEAD OPC X 30,Deferido,Registro,Genérico,Sim,,,,,"Informações do matriz: (150 SIMILAR - REGISTRO DE MEDICAMENTO SIMILAR - 0803732/21-9 -
25351.120823/2021-34"
9/9/2024,GGMED,NATULAB LABORATÓRIO S.A,2456955000183,BUTILBROMETO DE ESCOPOLAMINA + dipirona monoidratada,NA,25351.318584/2024-01, 09/2034,10488 GENÉRICO - REGISTRO DE MEDICAMENTO - CLONE ,0721608/24-4,1.3841.0078.001-1, 24 Meses,"6,67 MG/ML + 333,4 MG/ML SOL OR FR GOT PLAS AMB X 20 ML",Deferido,Registro,Genérico,Sim,,,,,"Informações do matriz: (150 SIMILAR - REGISTRO DE MEDICAMENTO SIMILAR - 0861925/12-5 -
25351.599425/2012-74"
9/9/2024,GGMED,NATULAB LABORATÓRIO S.A,2456955000183,BUTILBROMETO DE ESCOPOLAMINA + dipirona monoidratada,NA,25351.318584/2024-01, 09/2034,10488 GENÉRICO - REGISTRO DE MEDICAMENTO - CLONE ,0721608/24-4,1.3841.0078.002-1 , 24 Meses,"6,67 MG/ML + 333,4 MG/ML SOL OR CX 50 FR GOT PLAS AMB X 20 ML (EMB HOSP)",Deferido,Registro,Genérico,Sim,,,,,"Informações do matriz: (150 SIMILAR - REGISTRO DE MEDICAMENTO SIMILAR - 0861925/12-5 -
25351.599425/2012-74"
9/9/2024,GGMED,NATULAB LABORATÓRIO S.A,2456955000183,BUTILBROMETO DE ESCOPOLAMINA + dipirona monoidratada,NA,25351.318584/2024-01, 09/2034,10488 GENÉRICO - REGISTRO DE MEDICAMENTO - CLONE ,0721608/24-4,1.3841.0078.003-8 , 24 Meses,"6,67 MG/ML + 333,4 MG/ML SOL OR CX 100 FR GOT PLAS AMB X 20 ML (EMB HOSP)",Deferido,Registro,Genérico,Sim,,,,,"Informações do matriz: (150 SIMILAR - REGISTRO DE MEDICAMENTO SIMILAR - 0861925/12-5 -
25351.599425/2012-74"
9/9/2024,GGMED,NATULAB LABORATÓRIO S.A,2456955000183,BUTILBROMETO DE ESCOPOLAMINA + dipirona monoidratada,NA,25351.318584/2024-01, 09/2034,10488 GENÉRICO - REGISTRO DE MEDICAMENTO - CLONE ,0721608/24-4,1.3841.0078.004-6, 24 Meses,"6,67 MG/ML + 333,4 MG/ML SOL OR CX 200 FR GOT PLAS AMB X 20 ML (EMB HOSP)",Deferido,Registro,Genérico,Sim,,,,,"Informações do matriz: (150 SIMILAR - REGISTRO DE MEDICAMENTO SIMILAR - 0861925/12-5 -
25351.599425/2012-74"
9/9/2024,GGMED,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,60665981000118,DIMENIDRINATO + CLORIDRATO DE PIRIDOXINA,NAUSICALM B6,25351.242411/2023-16, 09/2034,10490 SIMILAR - REGISTRO DE PRODUTO - CLONE,0393745/23-3,1.0497.1535.001-1,24 Meses,(25 + 5) MG/ML SOL GOT OR CT FR GOT PLAS PET OPC X 20 ML,Deferido,Registro,Similar,Sim,,,,,Informações do matriz: (155 GENERICO - REGISTRO DE MEDICAMENTO - 0128928/23-4 - 25351.080712/2023-40)
9/9/2024,GGMED,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,60665981000118,DIMENIDRINATO,NAUSICALM CÁPSULA MOLE, 25351.242412/2023-61 , 09/2034,10490 SIMILAR - REGISTRO DE PRODUTO - CLONE,0393748/23-8,1.0497.1536.001-7,24 Meses,25 MG CAP MOLE CT BL AL PLAS PVC/PVDC TRANS X 10,Deferido,Registro,Similar,Sim,,,,,Informações do matriz: (155 GENERICO - REGISTRO DE MEDICAMENTO - 0099638/23-6 - 25351.061978/2023-93)
9/9/2024,GGMED,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,60665981000118,DIMENIDRINATO,NAUSICALM CÁPSULA MOLE, 25351.242412/2023-61 , 09/2034,10490 SIMILAR - REGISTRO DE PRODUTO - CLONE,0393748/23-8,1.0497.1536.002-5,24 Meses,50 MG CAP MOLE CT BL AL PLAS PVC/PVDC TRANS X 10,Deferido,Registro,Similar,Sim,,,,,Informações do matriz: (155 GENERICO - REGISTRO DE MEDICAMENTO - 0099638/23-6 - 25351.061978/2023-93)
9/9/2024,GGMED,AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA,04301884000175,OLANZAPINA,NA,25351.318731/2011-52, 03/2026,11723 RDC 73/2016 - GENÉRICO - INCLUSÃO DE NOVO DIFA SEM CADIFA ,0608762/23-1,1.5167.0047.001-1,24 Meses,"2,5 MG COM CT BL PVC/OPA/AL/PVC X 7",Indeferido,Pós-registro,Genérico,Não,,,,,
9/9/2024,GGMED,AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA,04301884000175,OLANZAPINA,NA,25351.318731/2011-52, 03/2026,11723 RDC 73/2016 - GENÉRICO - INCLUSÃO DE NOVO DIFA SEM CADIFA ,0608762/23-1,1.5167.0047.002-1,24 Meses,"2,5 MG COM CT BL PVC/OPA/AL/PVC X 14",Indeferido,Pós-registro,Genérico,Não,,,,,
9/9/2024,GGMED,AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA,04301884000175,OLANZAPINA,NA,25351.318731/2011-52, 03/2026,11723 RDC 73/2016 - GENÉRICO - INCLUSÃO DE NOVO DIFA SEM CADIFA ,0608762/23-1,1.5167.0047.003-8,24 Meses,"2,5 MG COM CT BL PVC/OPA/AL/PVC X 28",Indeferido,Pós-registro,Genérico,Não,,,,,
9/9/2024,GGMED,AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA,04301884000175,OLANZAPINA,NA,25351.318731/2011-52, 03/2026,11723 RDC 73/2016 - GENÉRICO - INCLUSÃO DE NOVO DIFA SEM CADIFA ,0608762/23-1,1.5167.0047.004-6 ,24 Meses,"2,5 MG COM CT BL PVC/OPA/AL/PVC X 56",Indeferido,Pós-registro,Genérico,Não,,,,,
9/9/2024,GGMED,AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA,04301884000175,OLANZAPINA,NA,25351.318731/2011-52, 03/2026,11723 RDC 73/2016 - GENÉRICO - INCLUSÃO DE NOVO DIFA SEM CADIFA ,0608762/23-1,1.5167.0047.005-4,24 Meses,"2,5 MG COM CT BL PVC/OPA/AL/PVC X 60",Indeferido,Pós-registro,Genérico,Não,,,,,
9/9/2024,GGMED,AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA,04301884000175,OLANZAPINA,NA,25351.318731/2011-52, 03/2026,11723 RDC 73/2016 - GENÉRICO - INCLUSÃO DE NOVO DIFA SEM CADIFA ,0608762/23-1,1.5167.0047.006-2,24 Meses,"2,5 MG COM CT BL PVC/OPA/AL/PVC X 500 (EMB HOSP)",Indeferido,Pós-registro,Genérico,Não,,,,,
9/9/2024,GGMED,AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA,04301884000175,OLANZAPINA,NA,25351.318731/2011-52, 03/2026,11723 RDC 73/2016 - GENÉRICO - INCLUSÃO DE NOVO DIFA SEM CADIFA ,0608762/23-1,1.5167.0047.007-0,24 Meses,5 MG COM CT BL PVC/OPA/AL/PVC X 7,Indeferido,Pós-registro,Genérico,Não,,,,,
9/9/2024,GGMED,AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA,04301884000175,OLANZAPINA,NA,25351.318731/2011-52, 03/2026,11723 RDC 73/2016 - GENÉRICO - INCLUSÃO DE NOVO DIFA SEM CADIFA ,0608762/23-1,1.5167.0047.008-9,24 Meses,5 MG COM CT BL PVC/OPA/AL/PVC X 14,Indeferido,Pós-registro,Genérico,Não,,,,,
9/9/2024,GGMED,AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA,04301884000175,OLANZAPINA,NA,25351.318731/2011-52, 03/2026,11723 RDC 73/2016 - GENÉRICO - INCLUSÃO DE NOVO DIFA SEM CADIFA ,0608762/23-1,1.5167.0047.009-7 ,24 Meses,5 MG COM CT BL PVC/OPA/AL/PVC X 28,Indeferido,Pós-registro,Genérico,Não,,,,,
9/9/2024,GGMED,AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA,04301884000175,OLANZAPINA,NA,25351.318731/2011-52, 03/2026,11723 RDC 73/2016 - GENÉRICO - INCLUSÃO DE NOVO DIFA SEM CADIFA ,0608762/23-1,1.5167.0047.010-0,24 Meses,5 MG COM CT BL PVC/OPA/AL/PVC X 56,Indeferido,Pós-registro,Genérico,Não,,,,,
9/9/2024,GGMED,AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA,04301884000175,OLANZAPINA,NA,25351.318731/2011-52, 03/2026,11723 RDC 73/2016 - GENÉRICO - INCLUSÃO DE NOVO DIFA SEM CADIFA ,0608762/23-1,1.5167.0047.011-9,24 Meses,5 MG COM CT BL PVC/OPA/AL/PVC X 60,Indeferido,Pós-registro,Genérico,Não,,,,,
9/9/2024,GGMED,AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA,04301884000175,OLANZAPINA,NA,25351.318731/2011-52, 03/2026,11723 RDC 73/2016 - GENÉRICO - INCLUSÃO DE NOVO DIFA SEM CADIFA ,0608762/23-1,1.5167.0047.012-7,24 Meses,5 MG COM CT BL PVC/OPA/AL/PVC X 500 (EMB HOSP),Indeferido,Pós-registro,Genérico,Não,,,,,
9/9/2024,GGMED,AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA,04301884000175,OLANZAPINA,NA,25351.318731/2011-52, 03/2026,11723 RDC 73/2016 - GENÉRICO - INCLUSÃO DE NOVO DIFA SEM CADIFA ,0608762/23-1,1.5167.0047.013-5,24 Meses,10 MG COM CT BL PVC/OPA/AL/PVC X 7,Indeferido,Pós-registro,Genérico,Não,,,,,
9/9/2024,GGMED,AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA,04301884000175,OLANZAPINA,NA,25351.318731/2011-52, 03/2026,11723 RDC 73/2016 - GENÉRICO - INCLUSÃO DE NOVO DIFA SEM CADIFA ,0608762/23-1,1.5167.0047.014-3,24 Meses,10 MG COM CT BL PVC/OPA/AL/PVC X 14,Indeferido,Pós-registro,Genérico,Não,,,,,
9/9/2024,GGMED,AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA,04301884000175,OLANZAPINA,NA,25351.318731/2011-52, 03/2026,11723 RDC 73/2016 - GENÉRICO - INCLUSÃO DE NOVO DIFA SEM CADIFA ,0608762/23-1,1.5167.0047.015-1,24 Meses,10 MG COM CT BL PVC/OPA/AL/PVC X 28,Indeferido,Pós-registro,Genérico,Não,,,,,
9/9/2024,GGMED,AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA,04301884000175,OLANZAPINA,NA,25351.318731/2011-52, 03/2026,11723 RDC 73/2016 - GENÉRICO - INCLUSÃO DE NOVO DIFA SEM CADIFA ,0608762/23-1,1.5167.0047.016-1,24 Meses,10 MG COM CT BL PVC/OPA/AL/PVC X 56,Indeferido,Pós-registro,Genérico,Não,,,,,
9/9/2024,GGMED,AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA,04301884000175,OLANZAPINA,NA,25351.318731/2011-52, 03/2026,11723 RDC 73/2016 - GENÉRICO - INCLUSÃO DE NOVO DIFA SEM CADIFA ,0608762/23-1,1.5167.0047.017-8,24 Meses,10 MG COM CT BL PVC/OPA/AL/PVC X 60,Indeferido,Pós-registro,Genérico,Não,,,,,
9/9/2024,GGMED,AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA,04301884000175,OLANZAPINA,NA,25351.318731/2011-52, 03/2026,11723 RDC 73/2016 - GENÉRICO - INCLUSÃO DE NOVO DIFA SEM CADIFA ,0608762/23-1,1.5167.0047.018-6,24 Meses,10 MG COM CT BL PVC/OPA/AL/PVC X 500 (EMB HOSP),Indeferido,Pós-registro,Genérico,Não,,,,,
9/9/2024,GGMED,BELFAR LTDA, 18324343000177,METRONIDAZOL,FLAGIMAX,25000.006736/90-05, 06/2025,1998 SIMILAR - INCLUSÃO DE NOVA FORMA FARMACÊUTICA JÁ REGISTRADA NO PAÍS,000866/10-4,,,250 MG COM CT BL AL PLAS INC X 20,Indeferido,Pós-registro,Similar,Não,,,,,
9/9/2024,GGMED,BELFAR LTDA, 18324343000177,METRONIDAZOL,FLAGIMAX,25000.006736/90-05, 06/2025,1999 SIMILAR - INCLUSÃO DE NOVA FORMA FARMACÊUTICA JÁ REGISTRADA NO PAÍS,000866/10-4,,,250 MG COM CT BL AL PLAS INC X 250 (EMB HOSP),Indeferido,Pós-registro,Similar,Não,,,,,
9/9/2024,GGMED,BELFAR LTDA, 18324343000177,METRONIDAZOL,FLAGIMAX,25000.006736/90-05, 06/2025,2000 SIMILAR - INCLUSÃO DE NOVA FORMA FARMACÊUTICA JÁ REGISTRADA NO PAÍS,000866/10-4,,,250 MG COM CT BL AL PLAS INC X 500 (EMB HOSP),Indeferido,Pós-registro,Similar,Não,,,,,
9/9/2024,GGMED,BELFAR LTDA, 18324343000177,METRONIDAZOL,FLAGIMAX,25000.006736/90-05, 06/2025,2001 SIMILAR - INCLUSÃO DE NOVA FORMA FARMACÊUTICA JÁ REGISTRADA NO PAÍS,000866/10-4,,,400 MG COM BL AL PLAS INC X 24,Indeferido,Pós-registro,Similar,Não,,,,,
9/9/2024,GGMED,BELFAR LTDA, 18324343000177,METRONIDAZOL,FLAGIMAX,25000.006736/90-05, 06/2025,2002 SIMILAR - INCLUSÃO DE NOVA FORMA FARMACÊUTICA JÁ REGISTRADA NO PAÍS,000866/10-4,,,400 MG COM BL AL PLAS INC X 240 (EMB HOSP),Indeferido,Pós-registro,Similar,Não,,,,,
9/9/2024,GGMED,BELFAR LTDA, 18324343000177,METRONIDAZOL,FLAGIMAX,25000.006736/90-05, 06/2025,2003 SIMILAR - INCLUSÃO DE NOVA FORMA FARMACÊUTICA JÁ REGISTRADA NO PAÍS,000866/10-4,,,400 MG COM BL AL PLAS INC X 480 (EMB HOSP),Indeferido,Pós-registro,Similar,Não,,,,,
9/9/2024,GGMED,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,05161069000110,FOSFATO SÓDICO DE PREDNISOLONA,NA,25351.544442/2022-28, 06/2032,10506 GENÉRICO - MODIFICAÇÃO PÓS-REGISTRO - CLONE,0817079/23-7,,,22 MG/ML SOL GOT OR CT FR GOT PLAS PEBD/PEAD OPC X 5 ML,Indeferido,Pós-registro,Genérico,Sim,,,,,"Informação do matriz: (11116 - RDC 73/2016 - NOVO - Inclusão de nova concentração - 0741270/23-3 -
25351.261692/2015-13)"
9/9/2024,GGMED,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,05161069000110,FOSFATO SÓDICO DE PREDNISOLONA,NA,25351.544442/2022-28, 06/2032,10506 GENÉRICO - MODIFICAÇÃO PÓS-REGISTRO - CLONE,0817079/23-7,,,22 MG/ML SOL GOT OR CT FR GOT PLAS PEBD/PEAD OPC X 10 ML,Indeferido,Pós-registro,Genérico,Sim,,,,,"Informação do matriz: (11116 - RDC 73/2016 - NOVO - Inclusão de nova concentração - 0741270/23-3 -
25351.261692/2015-13)"
9/9/2024,GGMED,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,05161069000110,FOSFATO SÓDICO DE PREDNISOLONA,NA,25351.544442/2022-28, 06/2032,10506 GENÉRICO - MODIFICAÇÃO PÓS-REGISTRO - CLONE,0817079/23-7,,,22 MG/ML SOL GOT OR CT FR GOT PLAS PEBD/PEAD OPC X 20 ML,Indeferido,Pós-registro,Genérico,Sim,,,,,"Informação do matriz: (11116 - RDC 73/2016 - NOVO - Inclusão de nova concentração - 0741270/23-3 -
25351.261692/2015-13)"
9/9/2024,GGMED,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA ,17562075000169,dipirona monoidratada,DIFEBRIL,25000.021532/99-61, 12/2029,11117 RDC 73/2016 - SIMILAR - INCLUSÃO DE NOVA CONCENTRAÇÃO,0077299/24-2,,,1000 MG COM CT BL AL PLAS PVC/PVDC/PCTFE TRANS X 10,Indeferido,Pós-registro,Similar,Não,,,,,
9/9/2024,GGMED,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA ,17562075000169,dipirona monoidratada,DIFEBRIL,25000.021532/99-61, 12/2029,11117 RDC 73/2016 - SIMILAR - INCLUSÃO DE NOVA CONCENTRAÇÃO,0077299/24-2,,,1000 MG COM CT BL AL PLAS PVC/PVDC/PCTFE TRANS X 20,Indeferido,Pós-registro,Similar,Não,,,,,
9/9/2024,GGMED,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA ,17562075000169,dipirona monoidratada,DIFEBRIL,25000.021532/99-61, 12/2029,11117 RDC 73/2016 - SIMILAR - INCLUSÃO DE NOVA CONCENTRAÇÃO,0077299/24-2,,,1000 MG COM CT BL AL PLAS PVC/PVDC/PCTFE TRANSL X 200,Indeferido,Pós-registro,Similar,Não,,,,,
9/9/2024,GGMED,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA ,17562075000169,dipirona monoidratada,DIFEBRIL,25000.021532/99-61, 12/2029,11117 RDC 73/2016 - SIMILAR - INCLUSÃO DE NOVA CONCENTRAÇÃO,0077299/24-2,,,1000 MG COM CT BL AL PLAS PVC/PVDC/PCTFE TRANSL X 100,Indeferido,Pós-registro,Similar,Não,,,,,
9/9/2024,GGMED,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA ,17562075000169,dipirona monoidratada,DIFEBRIL,25000.021532/99-61, 12/2029,11117 RDC 73/2016 - SIMILAR - INCLUSÃO DE NOVA CONCENTRAÇÃO,0077299/24-2,,,1000 MG COM CT BL AL PLAS PVC/PVDC/PCTFE TRANSL X 80,Indeferido,Pós-registro,Similar,Não,,,,,
9/9/2024,GGMED,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA ,17562075000169,dipirona monoidratada,DIFEBRIL,25000.021532/99-61, 12/2029,11117 RDC 73/2016 - SIMILAR - INCLUSÃO DE NOVA CONCENTRAÇÃO,0077299/24-2,,,1000 MG COM CT BL AL PLAS PVC/PVDC/PCTFE TRANSL X 20,Indeferido,Pós-registro,Similar,Não,,,,,
